- Move name : Turbo-Charge Bulldozer ; Exceeds by 6
- Move name : Combo Hyper-Furie ; Exceeds by 1
- Move name : Piqué Supersonique ; Exceeds by 2
- Move name : Déluge Causti-Toxique ; Exceeds by 5
- Move name : Éruption Géo-Sismique ; Exceeds by 5
- Move name : Apocalypse Gigalithique ; Exceeds by 7
- Move name : Appel des Ombres Éternelles ; Exceeds by 11
- Move name : Pyro-Explosion Cataclysmique ; Exceeds by 12
- Move name : Super Tourbillon Abyssal ; Exceeds by 8
- Move name : Pétalexplosion Éblouissante ; Exceeds by 11
- Move name : Fulguro-Lance Gigavolt ; Exceeds by 6
- Move name : Psycho-Pulvérisation EX ; Exceeds by 7
- Move name : Laser Cryogénique ; Exceeds by 1
- Move name : Trou Noir des Ombres ; Exceeds by 4
- Move name : Impact Choupinova ; Exceeds by 1
- Move name : Pikachute Foudroyante ; Exceeds by 5
- Move name : Fureur des Plumes Spectrales ; Exceeds by 12
- Move name : Symphonie des Ondines ; Exceeds by 5
- Move name : Colère du Gardien d’Alola ; Exceeds by 9
- Move name : Fauche-Âme des Sept Étoiles ; Exceeds by 11
- Move name : Électro-Surf Survolté ; Exceeds by 5
- Move name : Supernova Originelle ; Exceeds by 4
- Move name : Apocalypsis Luminis ; Exceeds by 3
- Move name : Hélio-Choc Dévastateur ; Exceeds by 6
- Move name : Rayons Séléno-Explosifs ; Exceeds by 7
- Move name : Patati-Patattrape ; Exceeds by 1
- Move name : Hurlement des Roches-Lames ; Exceeds by 10
- Move name : Dracacophonie Flamboyante ; Exceeds by 9
